"time","pp","Event1","PhoneNrSoFar","Event2","trial","typingErrorMadeOnTrial","partOfExperiment","timeConverted","timeInMsec","lanePosition","phoneNrLengthBeforeKeyPress","timeRelativeToTrialStart","phoneNrLengthAfterKeyPress"
"2016-11-14 10:19:02:800",4,"Keypress","","Number0",6,0,"dualSteerFocus",2016-11-14 10:19:02.800,1479115142800,0.949,0,963,1
"2016-11-14 10:19:03:802",4,"Keypress","0","Number7",6,0,"dualSteerFocus",2016-11-14 10:19:03.802,1479115143802,1.345,1,1965,2
"2016-11-14 10:19:03:811",4,"Keypress","07","Number8",6,0,"dualSteerFocus",2016-11-14 10:19:03.811,1479115143811,1.345,2,1974,3
"2016-11-14 10:19:04:070",4,"Keypress","078","Number5",6,0,"dualSteerFocus",2016-11-14 10:19:04.070,1479115144070,1.419,3,2233,4
"2016-11-14 10:19:04:732",4,"Keypress","0785","Number4",6,0,"dualSteerFocus",2016-11-14 10:19:04.732,1479115144732,1.417,4,2895,5
"2016-11-14 10:19:05:243",4,"Keypress","07854","Number3",6,0,"dualSteerFocus",2016-11-14 10:19:05.243,1479115145243,1.191,5,3406,6
"2016-11-14 10:19:05:589",4,"Keypress","078543","Number2",6,0,"dualSteerFocus",2016-11-14 10:19:05.589,1479115145589,1.002,6,3752,7
"2016-11-14 10:19:05:965",4,"Keypress","0785432","Number5",6,0,"dualSteerFocus",2016-11-14 10:19:05.965,1479115145965,0.899,7,4128,8
"2016-11-14 10:19:06:380",4,"Keypress","07854325","Number6",6,0,"dualSteerFocus",2016-11-14 10:19:06.380,1479115146380,0.934,8,4543,9
"2016-11-14 10:19:06:701",4,"Keypress","078543256","Number9",6,0,"dualSteerFocus",2016-11-14 10:19:06.701,1479115146701,1.018,9,4864,10
"2016-11-14 10:19:06:929",4,"Keypress","0785432569","Number8",6,0,"dualSteerFocus",2016-11-14 10:19:06.929,1479115146929,1.094,10,5092,11
"2016-11-14 10:19:07:275",4,"Correct","07854325698","190",6,0,"dualSteerFocus",2016-11-14 10:19:07.275,1479115147275,1.262,11,5438,12
"2016-11-14 10:19:19:265",4,"Start","","190",7,1,"dualSteerFocus",2016-11-14 10:19:19.265,1479115159265,0.434,0,0,0
"2016-11-14 10:19:19:910",4,"Keypress","","Number0",7,1,"dualSteerFocus",2016-11-14 10:19:19.910,1479115159910,0.777,0,645,1
"2016-11-14 10:19:21:040",4,"Keypress","0","Number8",7,1,"dualSteerFocus",2016-11-14 10:19:21.040,1479115161040,1.296,1,1775,2
"2016-11-14 10:19:21:390",4,"Keypress","08","Number7",7,1,"dualSteerFocus",2016-11-14 10:19:21.390,1479115161390,1.284,2,2125,3
"2016-11-14 10:19:22:058",4,"Keypress","087","Number4",7,1,"dualSteerFocus",2016-11-14 10:19:22.058,1479115162058,1.111,3,2793,4
"2016-11-14 10:19:22:346",4,"Keypress","0874","Number5",7,1,"dualSteerFocus",2016-11-14 10:19:22.346,1479115162346,1.013,4,3081,5
"2016-11-14 10:19:23:434",4,"Keypress","08745","Number3",7,1,"dualSteerFocus",2016-11-14 10:19:23.434,1479115163434,0.743,5,4169,6
"2016-11-14 10:19:23:698",4,"Keypress","087453","Number2",7,1,"dualSteerFocus",2016-11-14 10:19:23.698,1479115163698,0.743,6,4433,7
"2016-11-14 10:19:23:958",4,"Keypress","0874532","Number5",7,1,"dualSteerFocus",2016-11-14 10:19:23.958,1479115163958,0.767,7,4693,8
"2016-11-14 10:19:24:275",4,"Keypress","08745325","Number6",7,1,"dualSteerFocus",2016-11-14 10:19:24.275,1479115164275,0.829,8,5010,9
"2016-11-14 10:19:24:563",4,"Keypress","087453256","Number9",7,1,"dualSteerFocus",2016-11-14 10:19:24.563,1479115164563,0.92,9,5298,10
"2016-11-14 10:19:24:913",4,"Keypress","0874532569","Number8",7,1,"dualSteerFocus",2016-11-14 10:19:24.913,1479115164913,1.022,10,5648,11
"2016-11-14 10:19:25:594",4,"Incorrect","08745325698","190",7,1,"dualSteerFocus",2016-11-14 10:19:25.594,1479115165594,1.189,11,6329,0
"2016-11-14 10:19:26:925",4,"Incorrect","08745325698","190",7,1,"dualSteerFocus",2016-11-14 10:19:26.925,1479115166925,1.373,11,7660,0
"2016-11-14 10:19:31:608",4,"Keypress","0874532569","Back",7,1,"dualSteerFocus",2016-11-14 10:19:31.608,1479115171608,-0.729,10,12343,9
"2016-11-14 10:19:31:626",4,"Keypress","087453256","Back",7,1,"dualSteerFocus",2016-11-14 10:19:31.626,1479115171626,-0.729,9,12361,8
"2016-11-14 10:19:31:722",4,"Keypress","08745325","Back",7,1,"dualSteerFocus",2016-11-14 10:19:31.722,1479115171722,-0.797,8,12457,7
"2016-11-14 10:19:31:809",4,"Keypress","0874532","Back",7,1,"dualSteerFocus",2016-11-14 10:19:31.809,1479115171809,-0.856,7,12544,6
"2016-11-14 10:19:31:909",4,"Keypress","087453","Back",7,1,"dualSteerFocus",2016-11-14 10:19:31.909,1479115171909,-0.904,6,12644,5
"2016-11-14 10:19:31:988",4,"Keypress","08745","Back",7,1,"dualSteerFocus",2016-11-14 10:19:31.988,1479115171988,-0.943,5,12723,4
"2016-11-14 10:19:32:094",4,"Keypress","0874","Back",7,1,"dualSteerFocus",2016-11-14 10:19:32.094,1479115172094,-0.973,4,12829,3
"2016-11-14 10:19:32:189",4,"Keypress","087","Back",7,1,"dualSteerFocus",2016-11-14 10:19:32.189,1479115172189,-0.992,3,12924,2
"2016-11-14 10:19:32:286",4,"Keypress","08","Back",7,1,"dualSteerFocus",2016-11-14 10:19:32.286,1479115172286,-1.002,2,13021,1
"2016-11-14 10:19:32:399",4,"Keypress","0","Back",7,1,"dualSteerFocus",2016-11-14 10:19:32.399,1479115172399,-1.002,1,13134,0
"2016-11-14 10:19:32:459",4,"Keypress","","Back",7,1,"dualSteerFocus",2016-11-14 10:19:32.459,1479115172459,-0.998,0,13194,-1
"2016-11-14 10:19:35:280",4,"Start","","190",8,1,"dualSteerFocus",2016-11-14 10:19:35.280,1479115175280,1.539,0,0,0
"2016-11-14 10:19:35:761",4,"Keypress","","Number0",8,1,"dualSteerFocus",2016-11-14 10:19:35.761,1479115175761,1.724,0,481,1
"2016-11-14 10:19:36:149",4,"Keypress","0","Number8",8,1,"dualSteerFocus",2016-11-14 10:19:36.149,1479115176149,1.761,1,869,2
"2016-11-14 10:19:36:530",4,"Keypress","08","Number7",8,1,"dualSteerFocus",2016-11-14 10:19:36.530,1479115176530,1.768,2,1250,3
"2016-11-14 10:19:37:048",4,"Keypress","087","Number4",8,1,"dualSteerFocus",2016-11-14 10:19:37.048,1479115177048,1.732,3,1768,4
"2016-11-14 10:19:37:413",4,"Keypress","0874","Number5",8,1,"dualSteerFocus",2016-11-14 10:19:37.413,1479115177413,1.617,4,2133,5
"2016-11-14 10:19:38:171",4,"Keypress","0874","Back",8,1,"dualSteerFocus",2016-11-14 10:19:38.171,1479115178171,1.15,4,2891,3
"2016-11-14 10:19:38:424",4,"Keypress","087","Back",8,1,"dualSteerFocus",2016-11-14 10:19:38.424,1479115178424,0.973,3,3144,2
"2016-11-14 10:19:38:648",4,"Keypress","08","Back",8,1,"dualSteerFocus",2016-11-14 10:19:38.648,1479115178648,0.791,2,3368,1
"2016-11-14 10:19:38:860",4,"Keypress","0","Back",8,1,"dualSteerFocus",2016-11-14 10:19:38.860,1479115178860,0.656,1,3580,0
"2016-11-14 10:19:39:526",4,"Keypress","0","Number7",8,1,"dualSteerFocus",2016-11-14 10:19:39.526,1479115179526,0.322,1,4246,2
"2016-11-14 10:19:39:956",4,"Keypress","07","Number8",8,1,"dualSteerFocus",2016-11-14 10:19:39.956,1479115179956,0.189,2,4676,3
"2016-11-14 10:19:40:252",4,"Keypress","078","Number5",8,1,"dualSteerFocus",2016-11-14 10:19:40.252,1479115180252,0.144,3,4972,4
"2016-11-14 10:19:40:756",4,"Keypress","0785","Number4",8,1,"dualSteerFocus",2016-11-14 10:19:40.756,1479115180756,0.147,4,5476,5
"2016-11-14 10:19:41:216",4,"Keypress","07854","Number3",8,1,"dualSteerFocus",2016-11-14 10:19:41.216,1479115181216,0.234,5,5936,6
"2016-11-14 10:19:41:446",4,"Keypress","078543","Number2",8,1,"dualSteerFocus",2016-11-14 10:19:41.446,1479115181446,0.316,6,6166,7
"2016-11-14 10:19:41:667",4,"Keypress","0785432","Number5",8,1,"dualSteerFocus",2016-11-14 10:19:41.667,1479115181667,0.4,7,6387,8
"2016-11-14 10:19:41:950",4,"Keypress","07854325","Number6",8,1,"dualSteerFocus",2016-11-14 10:19:41.950,1479115181950,0.554,8,6670,9
"2016-11-14 10:19:42:160",4,"Keypress","078543256","Number9",8,1,"dualSteerFocus",2016-11-14 10:19:42.160,1479115182160,0.677,9,6880,10
"2016-11-14 10:19:42:409",4,"Keypress","0785432569","Number8",8,1,"dualSteerFocus",2016-11-14 10:19:42.409,1479115182409,0.852,10,7129,11
"2016-11-14 10:19:42:816",4,"Correct","07854325698","190",8,1,"dualSteerFocus",2016-11-14 10:19:42.816,1479115182816,1.14,11,7536,12
"2016-11-14 10:19:53:921",4,"Start","","190",9,1,"dualSteerFocus",2016-11-14 10:19:53.921,1479115193921,0.7,0,0,0
"2016-11-14 10:19:54:489",4,"Keypress","","Number0",9,1,"dualSteerFocus",2016-11-14 10:19:54.489,1479115194489,0.548,0,568,1
"2016-11-14 10:19:54:846",4,"Keypress","0","Number7",9,1,"dualSteerFocus",2016-11-14 10:19:54.846,1479115194846,0.443,1,925,2
"2016-11-14 10:19:55:348",4,"Keypress","07","Number8",9,1,"dualSteerFocus",2016-11-14 10:19:55.348,1479115195348,0.28,2,1427,3
"2016-11-14 10:19:55:714",4,"Keypress","078","Number5",9,1,"dualSteerFocus",2016-11-14 10:19:55.714,1479115195714,0.206,3,1793,4
"2016-11-14 10:19:56:025",4,"Keypress","0785","Number4",9,1,"dualSteerFocus",2016-11-14 10:19:56.025,1479115196025,0.18,4,2104,5
"2016-11-14 10:19:56:955",4,"Keypress","07854","Number3",9,1,"dualSteerFocus",2016-11-14 10:19:56.955,1479115196955,0.33,5,3034,6
"2016-11-14 10:19:57:225",4,"Keypress","078543","Number2",9,1,"dualSteerFocus",2016-11-14 10:19:57.225,1479115197225,0.428,6,3304,7
"2016-11-14 10:19:57:571",4,"Keypress","0785432","Number6",9,1,"dualSteerFocus",2016-11-14 10:19:57.571,1479115197571,0.607,7,3650,8
"2016-11-14 10:19:57:822",4,"Keypress","07854326","Number5",9,1,"dualSteerFocus",2016-11-14 10:19:57.822,1479115197822,0.759,8,3901,9
"2016-11-14 10:19:58:194",4,"Keypress","078543265","Number8",9,1,"dualSteerFocus",2016-11-14 10:19:58.194,1479115198194,0.995,9,4273,10
"2016-11-14 10:19:58:482",4,"Keypress","0785432658","Number9",9,1,"dualSteerFocus",2016-11-14 10:19:58.482,1479115198482,1.16,10,4561,11
"2016-11-14 10:19:59:180",4,"Incorrect","07854326589","190",9,1,"dualSteerFocus",2016-11-14 10:19:59.180,1479115199180,1.342,11,5259,0
"2016-11-14 10:20:01:469",4,"Keypress","0785432658","Back",9,1,"dualSteerFocus",2016-11-14 10:20:01.469,1479115201469,0.117,10,7548,9
"2016-11-14 10:20:01:655",4,"Keypress","078543265","Back",9,1,"dualSteerFocus",2016-11-14 10:20:01.655,1479115201655,-0.043,9,7734,8
"2016-11-14 10:20:01:888",4,"Keypress","07854326","Back",9,1,"dualSteerFocus",2016-11-14 10:20:01.888,1479115201888,-0.248,8,7967,7
"2016-11-14 10:20:02:135",4,"Keypress","0785432","Back",9,1,"dualSteerFocus",2016-11-14 10:20:02.135,1479115202135,-0.46,7,8214,6
"2016-11-14 10:20:02:339",4,"Keypress","078543","Back",9,1,"dualSteerFocus",2016-11-14 10:20:02.339,1479115202339,-0.633,6,8418,5
"2016-11-14 10:20:02:556",4,"Keypress","07854","Back",9,1,"dualSteerFocus",2016-11-14 10:20:02.556,1479115202556,-0.81,5,8635,4
"2016-11-14 10:20:02:793",4,"Keypress","0785","Back",9,1,"dualSteerFocus",2016-11-14 10:20:02.793,1479115202793,-1.038,4,8872,3
"2016-11-14 10:20:03:210",4,"Keypress","078","Back",9,1,"dualSteerFocus",2016-11-14 10:20:03.210,1479115203210,-1.409,3,9289,2
"2016-11-14 10:20:04:165",4,"Keypress","078","Number5",9,1,"dualSteerFocus",2016-11-14 10:20:04.165,1479115204165,-1.84,3,10244,4
"2016-11-14 10:20:04:593",4,"Keypress","0785","Number4",9,1,"dualSteerFocus",2016-11-14 10:20:04.593,1479115204593,-1.634,4,10672,5
"2016-11-14 10:20:05:453",4,"Keypress","07854","Number3",9,1,"dualSteerFocus",2016-11-14 10:20:05.453,1479115205453,-0.496,5,11532,6
"2016-11-14 10:20:05:753",4,"Keypress","078543","Number2",9,1,"dualSteerFocus",2016-11-14 10:20:05.753,1479115205753,0.012,6,11832,7
"2016-11-14 10:20:05:979",4,"Keypress","0785432","Number5",9,1,"dualSteerFocus",2016-11-14 10:20:05.979,1479115205979,0.371,7,12058,8
"2016-11-14 10:20:06:264",4,"Keypress","07854325","Number6",9,1,"dualSteerFocus",2016-11-14 10:20:06.264,1479115206264,0.934,8,12343,9
"2016-11-14 10:20:06:485",4,"Keypress","078543256","Number9",9,1,"dualSteerFocus",2016-11-14 10:20:06.485,1479115206485,1.404,9,12564,10
"2016-11-14 10:20:06:734",4,"Keypress","0785432569","Number8",9,1,"dualSteerFocus",2016-11-14 10:20:06.734,1479115206734,1.849,10,12813,11
"2016-11-14 10:20:07:446",4,"Correct","07854325698","190",9,1,"dualSteerFocus",2016-11-14 10:20:07.446,1479115207446,2.711,11,13525,12
"2016-11-14 10:20:17:820",4,"Start","","190",10,0,"dualSteerFocus",2016-11-14 10:20:17.820,1479115217820,0.562,0,0,0
"2016-11-14 10:20:18:321",4,"Keypress","","Number0",10,0,"dualSteerFocus",2016-11-14 10:20:18.321,1479115218321,0.488,0,501,1
"2016-11-14 10:20:18:663",4,"Keypress","0","Number7",10,0,"dualSteerFocus",2016-11-14 10:20:18.663,1479115218663,0.422,1,843,2
"2016-11-14 10:20:18:984",4,"Keypress","07","Number8",10,0,"dualSteerFocus",2016-11-14 10:20:18.984,1479115218984,0.344,2,1164,3
"2016-11-14 10:20:19:232",4,"Keypress","078","Number5",10,0,"dualSteerFocus",2016-11-14 10:20:19.232,1479115219232,0.283,3,1412,4
"2016-11-14 10:20:19:516",4,"Keypress","0785","Number4",10,0,"dualSteerFocus",2016-11-14 10:20:19.516,1479115219516,0.24,4,1696,5
"2016-11-14 10:20:20:025",4,"Keypress","07854","Number3",10,0,"dualSteerFocus",2016-11-14 10:20:20.025,1479115220025,0.227,5,2205,6
"2016-11-14 10:20:20:276",4,"Keypress","078543","Number2",10,0,"dualSteerFocus",2016-11-14 10:20:20.276,1479115220276,0.257,6,2456,7
"2016-11-14 10:20:20:490",4,"Keypress","0785432","Number5",10,0,"dualSteerFocus",2016-11-14 10:20:20.490,1479115220490,0.311,7,2670,8
"2016-11-14 10:20:20:731",4,"Keypress","07854325","Number6",10,0,"dualSteerFocus",2016-11-14 10:20:20.731,1479115220731,0.39,8,2911,9
"2016-11-14 10:20:20:930",4,"Keypress","078543256","Number9",10,0,"dualSteerFocus",2016-11-14 10:20:20.930,1479115220930,0.45,9,3110,10
"2016-11-14 10:20:21:144",4,"Keypress","0785432569","Number8",10,0,"dualSteerFocus",2016-11-14 10:20:21.144,1479115221144,0.568,10,3324,11
"2016-11-14 10:20:21:527",4,"Correct","07854325698","190",10,0,"dualSteerFocus",2016-11-14 10:20:21.527,1479115221527,0.771,11,3707,12
"2016-11-14 10:20:32:365",4,"Start","","190",11,1,"dualSteerFocus",2016-11-14 10:20:32.365,1479115232365,0.549,0,0,0
"2016-11-14 10:20:32:874",4,"Keypress","","Number0",11,1,"dualSteerFocus",2016-11-14 10:20:32.874,1479115232874,0.595,0,509,1
"2016-11-14 10:20:33:413",4,"Keypress","0","Number7",11,1,"dualSteerFocus",2016-11-14 10:20:33.413,1479115233413,0.709,1,1048,2
"2016-11-14 10:20:33:728",4,"Keypress","07","Number8",11,1,"dualSteerFocus",2016-11-14 10:20:33.728,1479115233728,0.76,2,1363,3
"2016-11-14 10:20:33:972",4,"Keypress","078","Number5",11,1,"dualSteerFocus",2016-11-14 10:20:33.972,1479115233972,0.795,3,1607,4
"2016-11-14 10:20:34:299",4,"Keypress","0785","Number4",11,1,"dualSteerFocus",2016-11-14 10:20:34.299,1479115234299,0.835,4,1934,5
"2016-11-14 10:20:34:843",4,"Keypress","07854","Number3",11,1,"dualSteerFocus",2016-11-14 10:20:34.843,1479115234843,0.873,5,2478,6
"2016-11-14 10:20:35:225",4,"Keypress","078543","Number2",11,1,"dualSteerFocus",2016-11-14 10:20:35.225,1479115235225,0.881,6,2860,7
"2016-11-14 10:20:35:556",4,"Keypress","0785432","Number6",11,1,"dualSteerFocus",2016-11-14 10:20:35.556,1479115235556,0.878,7,3191,8
"2016-11-14 10:20:35:817",4,"Keypress","07854326","Number5",11,1,"dualSteerFocus",2016-11-14 10:20:35.817,1479115235817,0.868,8,3452,9
"2016-11-14 10:20:36:133",4,"Keypress","078543265","Number8",11,1,"dualSteerFocus",2016-11-14 10:20:36.133,1479115236133,0.844,9,3768,10
"2016-11-14 10:20:36:370",4,"Keypress","0785432658","Number9",11,1,"dualSteerFocus",2016-11-14 10:20:36.370,1479115236370,0.825,10,4005,11
"2016-11-14 10:20:37:622",4,"Incorrect","07854326589","190",11,1,"dualSteerFocus",2016-11-14 10:20:37.622,1479115237622,0.776,11,5257,0
"2016-11-14 10:20:38:643",4,"Keypress","0785432658","Back",11,1,"dualSteerFocus",2016-11-14 10:20:38.643,1479115238643,1.165,10,6278,9
"2016-11-14 10:20:38:902",4,"Keypress","078543265","Back",11,1,"dualSteerFocus",2016-11-14 10:20:38.902,1479115238902,1.322,9,6537,8
"2016-11-14 10:20:39:105",4,"Keypress","07854326","Back",11,1,"dualSteerFocus",2016-11-14 10:20:39.105,1479115239105,1.461,8,6740,7
"2016-11-14 10:20:39:333",4,"Keypress","0785432","Back",11,1,"dualSteerFocus",2016-11-14 10:20:39.333,1479115239333,1.631,7,6968,6
"2016-11-14 10:20:39:554",4,"Keypress","078543","Back",11,1,"dualSteerFocus",2016-11-14 10:20:39.554,1479115239554,1.748,6,7189,5
"2016-11-14 10:20:39:824",4,"Keypress","07854","Back",11,1,"dualSteerFocus",2016-11-14 10:20:39.824,1479115239824,1.857,5,7459,4
"2016-11-14 10:20:40:627",4,"Keypress","07854","Number5",11,1,"dualSteerFocus",2016-11-14 10:20:40.627,1479115240627,1.92,5,8262,6
"2016-11-14 10:20:40:903",4,"Keypress","078545","Number6",11,1,"dualSteerFocus",2016-11-14 10:20:40.903,1479115240903,1.831,6,8538,7
"2016-11-14 10:20:41:259",4,"Keypress","0785456","Number9",11,1,"dualSteerFocus",2016-11-14 10:20:41.259,1479115241259,1.65,7,8894,8
"2016-11-14 10:20:41:495",4,"Keypress","07854569","Number8",11,1,"dualSteerFocus",2016-11-14 10:20:41.495,1479115241495,1.469,8,9130,9
"2016-11-14 10:20:41:886",4,"Incorrect","078545698","190",11,1,"dualSteerFocus",2016-11-14 10:20:41.886,1479115241886,1.091,9,9521,0
"2016-11-14 10:20:43:089",4,"Keypress","07854569","Back",11,1,"dualSteerFocus",2016-11-14 10:20:43.089,1479115243089,-0.508,8,10724,7
"2016-11-14 10:20:43:385",4,"Keypress","0785456","Back",11,1,"dualSteerFocus",2016-11-14 10:20:43.385,1479115243385,-0.907,7,11020,6
"2016-11-14 10:20:43:601",4,"Keypress","078545","Back",11,1,"dualSteerFocus",2016-11-14 10:20:43.601,1479115243601,-1.128,6,11236,5
"2016-11-14 10:20:43:905",4,"Keypress","07854","Back",11,1,"dualSteerFocus",2016-11-14 10:20:43.905,1479115243905,-1.359,5,11540,4
"2016-11-14 10:20:44:156",4,"Keypress","0785","Back",11,1,"dualSteerFocus",2016-11-14 10:20:44.156,1479115244156,-1.444,4,11791,3
"2016-11-14 10:20:44:391",4,"Keypress","078","Back",11,1,"dualSteerFocus",2016-11-14 10:20:44.391,1479115244391,-1.432,3,12026,2
"2016-11-14 10:20:44:621",4,"Keypress","07","Back",11,1,"dualSteerFocus",2016-11-14 10:20:44.621,1479115244621,-1.352,2,12256,1
"2016-11-14 10:20:46:450",4,"Keypress","07","Number0",11,1,"dualSteerFocus",2016-11-14 10:20:46.450,1479115246450,0.61,2,14085,3
"2016-11-14 10:20:47:301",4,"Keypress","07","Back",11,1,"dualSteerFocus",2016-11-14 10:20:47.301,1479115247301,0.584,2,14936,1
"2016-11-14 10:20:47:612",4,"Keypress","07","Number8",11,1,"dualSteerFocus",2016-11-14 10:20:47.612,1479115247612,0.371,2,15247,3
"2016-11-14 10:20:47:988",4,"Keypress","078","Number5",11,1,"dualSteerFocus",2016-11-14 10:20:47.988,1479115247988,-0.012,3,15623,4
"2016-11-14 10:20:48:289",4,"Keypress","0785","Number4",11,1,"dualSteerFocus",2016-11-14 10:20:48.289,1479115248289,-0.339,4,15924,5
"2016-11-14 10:20:49:444",4,"Keypress","07854","Number3",11,1,"dualSteerFocus",2016-11-14 10:20:49.444,1479115249444,-0.885,5,17079,6
"2016-11-14 10:20:50:201",4,"Keypress","078543","Number2",11,1,"dualSteerFocus",2016-11-14 10:20:50.201,1479115250201,-0.563,6,17836,7
"2016-11-14 10:20:50:424",4,"Keypress","0785432","Number5",11,1,"dualSteerFocus",2016-11-14 10:20:50.424,1479115250424,-0.419,7,18059,8
"2016-11-14 10:20:50:678",4,"Keypress","07854325","Number6",11,1,"dualSteerFocus",2016-11-14 10:20:50.678,1479115250678,-0.231,8,18313,9
"2016-11-14 10:20:50:894",4,"Keypress","078543256","Number9",11,1,"dualSteerFocus",2016-11-14 10:20:50.894,1479115250894,-0.049,9,18529,10
"2016-11-14 10:20:51:085",4,"Keypress","0785432569","Number8",11,1,"dualSteerFocus",2016-11-14 10:20:51.085,1479115251085,0.093,10,18720,11
"2016-11-14 10:20:51:466",4,"Correct","07854325698","190",11,1,"dualSteerFocus",2016-11-14 10:20:51.466,1479115251466,0.331,11,19101,12
"2016-11-14 10:21:04:565",4,"Start","","190",12,0,"dualSteerFocus",2016-11-14 10:21:04.565,1479115264565,0.724,0,0,0
"2016-11-14 10:21:04:911",4,"Keypress","","Number0",12,0,"dualSteerFocus",2016-11-14 10:21:04.911,1479115264911,0.648,0,346,1
"2016-11-14 10:21:05:537",4,"Keypress","0","Number7",12,0,"dualSteerFocus",2016-11-14 10:21:05.537,1479115265537,0.474,1,972,2
"2016-11-14 10:21:05:834",4,"Keypress","07","Number8",12,0,"dualSteerFocus",2016-11-14 10:21:05.834,1479115265834,0.386,2,1269,3
"2016-11-14 10:21:06:262",4,"Keypress","078","Number5",12,0,"dualSteerFocus",2016-11-14 10:21:06.262,1479115266262,0.316,3,1697,4
"2016-11-14 10:21:06:554",4,"Keypress","0785","Number4",12,0,"dualSteerFocus",2016-11-14 10:21:06.554,1479115266554,0.305,4,1989,5
"2016-11-14 10:21:07:354",4,"Keypress","07854","Number3",12,0,"dualSteerFocus",2016-11-14 10:21:07.354,1479115267354,0.443,5,2789,6
"2016-11-14 10:21:07:635",4,"Keypress","078543","Number2",12,0,"dualSteerFocus",2016-11-14 10:21:07.635,1479115267635,0.524,6,3070,7
"2016-11-14 10:21:07:869",4,"Keypress","0785432","Number5",12,0,"dualSteerFocus",2016-11-14 10:21:07.869,1479115267869,0.572,7,3304,8
"2016-11-14 10:21:08:199",4,"Keypress","07854325","Number6",12,0,"dualSteerFocus",2016-11-14 10:21:08.199,1479115268199,0.648,8,3634,9
"2016-11-14 10:21:08:463",4,"Keypress","078543256","Number9",12,0,"dualSteerFocus",2016-11-14 10:21:08.463,1479115268463,0.695,9,3898,10
"2016-11-14 10:21:08:714",4,"Keypress","0785432569","Number8",12,0,"dualSteerFocus",2016-11-14 10:21:08.714,1479115268714,0.736,10,4149,11
"2016-11-14 10:21:09:001",4,"Correct","07854325698","190",12,0,"dualSteerFocus",2016-11-14 10:21:09.001,1479115269001,0.777,11,4436,12
"2016-11-14 10:21:21:837",4,"Start","","190",13,1,"dualSteerFocus",2016-11-14 10:21:21.837,1479115281837,0.394,0,0,0
"2016-11-14 10:21:22:801",4,"Keypress","","Number0",13,1,"dualSteerFocus",2016-11-14 10:21:22.801,1479115282801,0.31,0,964,1
"2016-11-14 10:21:22:810",4,"Keypress","0","Number7",13,1,"dualSteerFocus",2016-11-14 10:21:22.810,1479115282810,0.31,1,973,2
"2016-11-14 10:21:22:833",4,"Keypress","07","Number8",13,1,"dualSteerFocus",2016-11-14 10:21:22.833,1479115282833,0.306,2,996,3
"2016-11-14 10:21:23:102",4,"Keypress","078","Number5",13,1,"dualSteerFocus",2016-11-14 10:21:23.102,1479115283102,0.298,3,1265,4
"2016-11-14 10:21:23:344",4,"Keypress","0785","Number4",13,1,"dualSteerFocus",2016-11-14 10:21:23.344,1479115283344,0.314,4,1507,5
"2016-11-14 10:21:23:858",4,"Keypress","07854","Number3",13,1,"dualSteerFocus",2016-11-14 10:21:23.858,1479115283858,0.419,5,2021,6
"2016-11-14 10:21:24:173",4,"Keypress","078543","Number2",13,1,"dualSteerFocus",2016-11-14 10:21:24.173,1479115284173,0.53,6,2336,7
"2016-11-14 10:21:24:512",4,"Keypress","0785432","Number6",13,1,"dualSteerFocus",2016-11-14 10:21:24.512,1479115284512,0.694,7,2675,8
"2016-11-14 10:21:24:925",4,"Keypress","07854326","Number5",13,1,"dualSteerFocus",2016-11-14 10:21:24.925,1479115284925,0.875,8,3088,9
"2016-11-14 10:21:25:187",4,"Keypress","078543265","Number8",13,1,"dualSteerFocus",2016-11-14 10:21:25.187,1479115285187,1.001,9,3350,10
"2016-11-14 10:21:25:421",4,"Keypress","0785432658","Number9",13,1,"dualSteerFocus",2016-11-14 10:21:25.421,1479115285421,1.08,10,3584,11
"2016-11-14 10:21:25:820",4,"Incorrect","07854326589","190",13,1,"dualSteerFocus",2016-11-14 10:21:25.820,1479115285820,1.225,11,3983,0
"2016-11-14 10:21:26:932",4,"Keypress","0785432658","Back",13,1,"dualSteerFocus",2016-11-14 10:21:26.932,1479115286932,1.356,10,5095,9
"2016-11-14 10:21:27:160",4,"Keypress","078543265","Back",13,1,"dualSteerFocus",2016-11-14 10:21:27.160,1479115287160,1.277,9,5323,8
"2016-11-14 10:21:27:375",4,"Keypress","07854326","Back",13,1,"dualSteerFocus",2016-11-14 10:21:27.375,1479115287375,1.183,8,5538,7
"2016-11-14 10:21:27:604",4,"Keypress","0785432","Back",13,1,"dualSteerFocus",2016-11-14 10:21:27.604,1479115287604,1.027,7,5767,6
"2016-11-14 10:21:28:435",4,"Keypress","0785432","Number5",13,1,"dualSteerFocus",2016-11-14 10:21:28.435,1479115288435,0.18,7,6598,8
"2016-11-14 10:21:28:679",4,"Keypress","07854325","Number6",13,1,"dualSteerFocus",2016-11-14 10:21:28.679,1479115288679,-0.131,8,6842,9
"2016-11-14 10:21:28:908",4,"Keypress","078543256","Number9",13,1,"dualSteerFocus",2016-11-14 10:21:28.908,1479115288908,-0.368,9,7071,10
"2016-11-14 10:21:29:259",4,"Keypress","0785432569","Number8",13,1,"dualSteerFocus",2016-11-14 10:21:29.259,1479115289259,-0.72,10,7422,11
"2016-11-14 10:21:29:659",4,"Correct","07854325698","190",13,1,"dualSteerFocus",2016-11-14 10:21:29.659,1479115289659,-0.976,11,7822,12
"2016-11-14 10:21:42:229",4,"Start","","190",14,0,"dualSteerFocus",2016-11-14 10:21:42.229,1479115302229,0.278,0,0,0
"2016-11-14 10:21:42:601",4,"Keypress","","Number0",14,0,"dualSteerFocus",2016-11-14 10:21:42.601,1479115302601,0.292,0,372,1
